,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
154,Arrow squid,Starting Oct 2008,0.118072469,2008,2008,0.029518117,
154,Arrow squid,Starting Oct 2008,0.118072469,2008,2009,,0.088554352
155,Arrow squid,Starting Oct 2009,0.143600726,2009,2009,0.035900182,
155,Arrow squid,Starting Oct 2009,0.143600726,2009,2010,,0.107700545
156,Arrow squid,Starting Oct 2010,0.110549281,2010,2010,0.02763732,
156,Arrow squid,Starting Oct 2010,0.110549281,2010,2011,,0.08291196
157,Arrow squid,Starting Oct 2011,0.106725483,2011,2011,0.026681371,
157,Arrow squid,Starting Oct 2011,0.106725483,2011,2012,,0.080044112
158,Arrow squid,Starting Oct 2012,0.087598777,2012,2012,0.021899694,
158,Arrow squid,Starting Oct 2012,0.087598777,2012,2013,,0.065699083
159,Arrow squid,Starting Oct 2013,0.128190338,2013,2013,0.032047585,
159,Arrow squid,Starting Oct 2013,0.128190338,2013,2014,,0.096142754
160,Arrow squid,Starting Oct 2014,0.095787708,2014,2014,0.023946927,
160,Arrow squid,Starting Oct 2014,0.095787708,2014,2015,,0.071840781
161,Arrow squid,Starting Oct 2015,0.064930258,2015,2015,0.016232564,
161,Arrow squid,Starting Oct 2015,0.064930258,2015,2016,,0.048697693
162,Arrow squid,Starting Oct 2016,0.067024805,2016,2016,0.016756201,
162,Arrow squid,Starting Oct 2016,0.067024805,2016,2017,,0.050268604
163,Arrow squid,Starting Oct 2017,0.079142622,2017,2017,0.019785655,
163,Arrow squid,Starting Oct 2017,0.079142622,2017,2018,,0.059356966
164,Arrow squid,Starting Oct 2018,0.07311016,2018,2018,0.01827754,
164,Arrow squid,Starting Oct 2018,0.07311016,2018,2019,,0.05483262
165,Arrow squid,Starting Oct 2019,0.08354878,2019,2019,0.020887195,
165,Arrow squid,Starting Oct 2019,0.08354878,2019,2020,,0.062661585
166,Arrow squid,Starting Oct 2020,0.073165225,2020,2020,0.018291306,
166,Arrow squid,Starting Oct 2020,0.073165225,2020,2021,,0.054873919
167,Arrow squid,Starting Oct 2021,0.1131,2021,2021,0.028275,
