"","species_common_name","period","ace_transfer_price","starting_year","wt_ace_2","wt_ace_1"
"72","Southern Blue Whiting","Starting Apr 2006",0.155451435487816,"2006",0.116588576615862,0.0388628588719539
"73","Southern Blue Whiting","Starting Apr 2007",0.190562696480701,"2007",0.142922022360526,0.0476406741201753
"74","Southern Blue Whiting","Starting Apr 2008",0.190619468020947,"2008",0.14296460101571,0.0476548670052366
"75","Southern Blue Whiting","Starting Apr 2009",0.156289531862948,"2009",0.117217148897211,0.0390723829657369
"76","Southern Blue Whiting","Starting Apr 2010",0.160235234333161,"2010",0.120176425749871,0.0400588085832903
"77","Southern Blue Whiting","Starting Apr 2011",0.158410746067781,"2011",0.118808059550836,0.0396026865169452
"78","Southern Blue Whiting","Starting Apr 2012",0.154964805967446,"2012",0.116223604475584,0.0387412014918614
"79","Southern Blue Whiting","Starting Apr 2013",0.151580815987016,"2013",0.113685611990262,0.0378952039967541
"80","Southern Blue Whiting","Starting Apr 2014",0.163520653269722,"2014",0.122640489952291,0.0408801633174305
"81","Southern Blue Whiting","Starting Apr 2015",0.140859336918827,"2015",0.10564450268912,0.0352148342297067
"82","Southern Blue Whiting","Starting Apr 2016",0.125676062580586,"2016",0.0942570469354397,0.0314190156451466
"83","Southern Blue Whiting","Starting Apr 2017",0.127553438606633,"2017",0.0956650789549749,0.0318883596516583
"84","Southern Blue Whiting","Starting Apr 2018",0.179559566171183,"2018",0.134669674628387,0.0448898915427957
"85","Southern Blue Whiting","Starting Apr 2019",0.1373,"2019",0.102975,0.034325
"86","Southern Blue Whiting","Starting Apr 2020",0.1135,"2020",0.085125,0.028375
"87","Southern Blue Whiting","Starting Apr 2021",0.1014,"2021",0.07605,0.02535
"88","Spiny red rock lobster","Starting Apr 2002",22.7663838197859,"2002",17.0747878648394,5.69159595494647
"89","Spiny red rock lobster","Starting Apr 2003",20.4160752890714,"2003",15.3120564668035,5.10401882226784
"90","Spiny red rock lobster","Starting Apr 2004",18.6398854860463,"2004",13.9799141145347,4.65997137151158
"91","Spiny red rock lobster","Starting Apr 2005",17.987712766663,"2005",13.4907845749972,4.49692819166575
"92","Spiny red rock lobster","Starting Apr 2006",19.3319531298011,"2006",14.4989648473508,4.83298828245026
"93","Spiny red rock lobster","Starting Apr 2007",21.650038417467,"2007",16.2375288131002,5.41250960436675
"94","Spiny red rock lobster","Starting Apr 2008",24.9494869469698,"2008",18.7121152102273,6.23737173674245
"95","Spiny red rock lobster","Starting Apr 2009",31.2354409751454,"2009",23.426580731359,7.80886024378634
"96","Spiny red rock lobster","Starting Apr 2010",32.8724999732386,"2010",24.6543749799289,8.21812499330965
"97","Spiny red rock lobster","Starting Apr 2011",37.6665918430709,"2011",28.2499438823032,9.41664796076773
"98","Spiny red rock lobster","Starting Apr 2012",40.829177701579,"2012",30.6218832761843,10.2072944253948
"99","Spiny red rock lobster","Starting Apr 2013",40.554192497922,"2013",30.4156443734415,10.1385481244805
"100","Spiny red rock lobster","Starting Apr 2014",41.6567615917825,"2014",31.2425711938369,10.4141903979456
"101","Spiny red rock lobster","Starting Apr 2015",44.1998596019259,"2015",33.1498947014444,11.0499649004815
"102","Spiny red rock lobster","Starting Apr 2016",48.1244391357272,"2016",36.0933293517954,12.0311097839318
"103","Spiny red rock lobster","Starting Apr 2017",43.2207142682864,"2017",32.4155357012148,10.8051785670716
"104","Spiny red rock lobster","Starting Apr 2018",45.8959751210538,"2018",34.4219813407903,11.4739937802634
"105","Spiny red rock lobster","Starting Apr 2019",49.6279464108134,"2019",37.2209598081101,12.4069866027034
"106","Spiny red rock lobster","Starting Apr 2020",37.4722667002285,"2020",28.1042000251714,9.36806667505713
"107","Spiny red rock lobster","Starting Apr 2021",43.4113410967681,"2021",32.5585058225761,10.852835274192
"108","Triangle shell","Starting Apr 2014",0.5355,"2014",0.401625,0.133875
"109","Triangle shell","Starting Apr 2015",0.6298,"2015",0.47235,0.15745
"110","Triangle shell","Starting Apr 2017",1,"2017",0.75,0.25
"111","Trough Shell","Starting Apr 2017",1,"2017",0.75,0.25
"112","Alfonsino","Starting Oct 2001",0.818559045599543,"2001",0.204639761399886,0.613919284199657
"113","Alfonsino","Starting Oct 2002",0.979636721350094,"2002",0.244909180337523,0.73472754101257
"114","Alfonsino","Starting Oct 2003",1.0333457385343,"2003",0.258336434633576,0.775009303900728
"115","Alfonsino","Starting Oct 2004",1.07831071850898,"2004",0.269577679627244,0.808733038881733
"116","Alfonsino","Starting Oct 2005",0.907450259308441,"2005",0.22686256482711,0.680587694481331
"117","Alfonsino","Starting Oct 2006",1.00890380811606,"2006",0.252225952029014,0.756677856087042
"118","Alfonsino","Starting Oct 2007",0.942288844643696,"2007",0.235572211160924,0.706716633482772
"119","Alfonsino","Starting Oct 2008",0.901740634876515,"2008",0.225435158719129,0.676305476157386
"120","Alfonsino","Starting Oct 2009",0.950309045081989,"2009",0.237577261270497,0.712731783811492
"121","Alfonsino","Starting Oct 2010",1.01354217495237,"2010",0.253385543738092,0.760156631214275
"122","Alfonsino","Starting Oct 2011",0.984383999490421,"2011",0.246095999872605,0.738287999617816
"123","Alfonsino","Starting Oct 2012",1.10770887141646,"2012",0.276927217854115,0.830781653562346
"124","Alfonsino","Starting Oct 2013",1.14402068406648,"2013",0.286005171016619,0.858015513049857
"125","Alfonsino","Starting Oct 2014",1.10928676355687,"2014",0.277321690889216,0.831965072667649
"126","Alfonsino","Starting Oct 2015",1.0799652469897,"2015",0.269991311747425,0.809973935242276
"127","Alfonsino","Starting Oct 2016",1.17168872949805,"2016",0.292922182374513,0.87876654712354
"128","Alfonsino","Starting Oct 2017",1.04524873092551,"2017",0.261312182731378,0.783936548194134
"129","Alfonsino","Starting Oct 2018",1.17149355719724,"2018",0.292873389299309,0.878620167897928
