"","species","fishing_year","wt_port_price"
"172","Blue Warehou",2017,1.630416667
"173","Blue Warehou",2018,1.241424302
"174","Blue Warehou",2019,1.231016543
"175","Blue Warehou",2020,1.422493744
"176","Blue Warehou",2021,1.40112699
"177","Blue Warehou",2022,1.0330155
"178","Bluenose",2008,1.17375
"179","Bluenose",2009,4.695
"180","Bluenose",2010,4.7225
"181","Bluenose",2011,4.72125
"182","Bluenose",2012,4.46125
"183","Bluenose",2013,4.52
"184","Bluenose",2014,4.85875
"185","Bluenose",2015,5.075833333
"186","Bluenose",2016,5.234166667
"187","Bluenose",2017,5.7775
"188","Bluenose",2018,5.075332896
"189","Bluenose",2019,5.078221763
"190","Bluenose",2020,4.929215286
"191","Bluenose",2021,4.975659934
"192","Bluenose",2022,3.969065277
"193","Broadbill Swordfish",2008,1.6275
"194","Broadbill Swordfish",2009,6.51
"195","Broadbill Swordfish",2010,6.315
"196","Broadbill Swordfish",2011,5.615
"197","Broadbill Swordfish",2012,5.26
"198","Broadbill Swordfish",2013,5.305
"199","Broadbill Swordfish",2014,5.41
"200","Broadbill Swordfish",2015,4.95
"201","Broadbill Swordfish",2016,4.5925
"202","Broadbill Swordfish",2017,4.6525
"203","Broadbill Swordfish",2018,5.350767879
"204","Broadbill Swordfish",2019,5.5710376
"205","Broadbill Swordfish",2020,6.224935855
"206","Broadbill Swordfish",2021,6.224935855
"207","Broadbill Swordfish",2022,4.668701891
"208","Butterfish",2008,0.8725
"209","Butterfish",2009,3.49
"210","Butterfish",2010,3.845
"211","Butterfish",2011,4.870625
"212","Butterfish",2012,4.7425
"213","Butterfish",2013,4.695
"214","Butterfish",2014,4.6096875
"215","Butterfish",2015,4.56375
"216","Butterfish",2016,4.71875
"217","Butterfish",2017,4.67125
"218","Butterfish",2018,4.586946645
"219","Butterfish",2019,4.72640954
"220","Butterfish",2020,4.81113539
"221","Butterfish",2021,4.7427953
"222","Butterfish",2022,3.486984254
"223","Cardinalfish",2012,0.25
"224","Cardinalfish",2013,1
"225","Cardinalfish",2014,1
"226","Cardinalfish",2015,1
"227","Cardinalfish",2016,1
"228","Cardinalfish",2017,1
"229","Cardinalfish",2018,1
"230","Cardinalfish",2019,1
"231","Cardinalfish",2020,1
"232","Cardinalfish",2021,1
"233","Cardinalfish",2022,0.75
"234","Cockles",2008,0.475
"235","Cockles",2009,1.9
"236","Cockles",2010,1.76
"237","Cockles",2011,1.25
"238","Cockles",2012,0.9775
"239","Cockles",2013,0.97
"240","Cockles",2014,0.97
"241","Cockles",2015,0.97
"242","Cockles",2016,0.97
"243","Cockles",2017,0.97
"244","Cockles",2018,0.97
"245","Cockles",2019,0.97
"246","Cockles",2020,0.97
"247","Cockles",2021,0.950961538
"248","Cockles",2022,0.670384615
"249","Crayfish",2008,9.6325
"250","Crayfish",2009,38.53
"251","Crayfish",2010,43.05
"252","Crayfish",2011,58.2075
"253","Crayfish",2012,63.8675
"254","Crayfish",2013,66.43
"255","Crayfish",2014,66.7575
"256","Crayfish",2015,69.075
"257","Crayfish",2016,72.65
"258","Crayfish",2017,76.35425
"259","Crayfish",2018,81.10775
"260","Crayfish",2019,81.14474531
"261","Crayfish",2020,84.36094
"262","Crayfish",2021,77.00371771
"263","Crayfish",2022,51.17581662
"264","Elephant Fish",2008,0.58125
"265","Elephant Fish",2009,2.325
"266","Elephant Fish",2010,2.20875
"267","Elephant Fish",2011,1.94125
"268","Elephant Fish",2012,2.180833333
"269","Elephant Fish",2013,2.154583333
"270","Elephant Fish",2014,2.144583333
"271","Elephant Fish",2015,2.2475
"272","Elephant Fish",2016,2.259583333
"273","Elephant Fish",2017,2.255416667
"274","Elephant Fish",2018,2.352058006
"275","Elephant Fish",2019,2.287137143
"276","Elephant Fish",2020,2.265682897
"277","Elephant Fish",2021,2.010921385
"278","Elephant Fish",2022,1.563872476
"279","Flatfish",2008,0.8295
"280","Flatfish",2009,3.318
"281","Flatfish",2010,3.265
"282","Flatfish",2011,3.0675
"283","Flatfish",2012,2.947
"284","Flatfish",2013,3.282
"285","Flatfish",2014,4.34
"286","Flatfish",2015,4.6665
"287","Flatfish",2016,5.2665
"288","Flatfish",2017,4.3435
"289","Flatfish",2018,4.467616266
"290","Flatfish",2019,4.780907988
"291","Flatfish",2020,4.730763011
"292","Flatfish",2021,5.153306438
"293","Flatfish",2022,3.867150375
"294","Freshwater Eels",2008,0.875
"295","Freshwater Eels",2009,3.5
"296","Freshwater Eels",2010,3.625
"297","Freshwater Eels",2011,4.085
"298","Freshwater Eels",2012,4.3325
"299","Freshwater Eels",2013,4.31
"300","Freshwater Eels",2014,4.31
"301","Freshwater Eels",2015,4.31
"302","Freshwater Eels",2016,4.31
"303","Freshwater Eels",2017,3.2325
"304","Freshwater Eels",2018,0
"305","Frostfish",2008,0.083
"306","Frostfish",2009,0.332
"307","Frostfish",2010,0.37975
"308","Frostfish",2011,0.614
"309","Frostfish",2012,0.885
"310","Frostfish",2013,0.934
"311","Frostfish",2014,1.099
"312","Frostfish",2015,1.00675
"313","Frostfish",2016,0.72
"314","Frostfish",2017,0.68975
"315","Frostfish",2018,0.686423397
"316","Frostfish",2019,0.660865628
"317","Frostfish",2020,0.608954699
"318","Frostfish",2021,0.611461293
"319","Frostfish",2022,0.453618357
"320","Garfish",2008,1.5425
"321","Garfish",2009,6.17
"322","Garfish",2010,6.6925
"323","Garfish",2011,8.1325
"324","Garfish",2012,7.735
"325","Garfish",2013,7.69
"326","Garfish",2014,7.69
"327","Garfish",2015,7.69
"328","Garfish",2016,7.69
"329","Garfish",2017,7.69
"330","Garfish",2018,7.69
"331","Garfish",2019,7.747545178
"332","Garfish",2020,7.968154977
"333","Garfish",2021,8.112077777
"334","Garfish",2022,6.084058333
"335","Gemfish",2008,0.4935
"336","Gemfish",2009,1.974
"337","Gemfish",2010,1.9055
"338","Gemfish",2011,1.669
"339","Gemfish",2012,1.5735
"340","Gemfish",2013,1.6005
"341","Gemfish",2014,1.682
"342","Gemfish",2015,1.667
"343","Gemfish",2016,1.7655
"344","Gemfish",2017,1.597
"345","Gemfish",2018,1.547967441
"346","Gemfish",2019,1.498467948
"347","Gemfish",2020,1.717449906
"348","Gemfish",2021,1.845736297
"349","Gemfish",2022,1.259931615
"350","Ghost Shark dark",2008,0.09
"351","Ghost Shark dark",2009,0.36
"352","Ghost Shark dark",2010,0.38975
"353","Ghost Shark dark",2011,0.46925
"354","Ghost Shark dark",2012,0.44
"355","Ghost Shark dark",2013,0.44425
"356","Ghost Shark dark",2014,0.457
"357","Ghost Shark dark",2015,0.43525
"358","Ghost Shark dark",2016,0.3735
"359","Ghost Shark dark",2017,0.38625
"360","Ghost Shark dark",2018,0.383102348
"361","Ghost Shark dark",2019,0.349662379
"362","Ghost Shark dark",2020,0.356598727
"363","Ghost Shark dark",2021,0.414941404
"364","Ghost Shark dark",2022,0.319779745
"365","Ghost Shark pale",2008,0.1
"366","Ghost Shark pale",2009,0.4
"367","Ghost Shark pale",2010,0.439166667
"368","Ghost Shark pale",2011,0.5425
"369","Ghost Shark pale",2012,0.5
"370","Ghost Shark pale",2013,0.486666667
"371","Ghost Shark pale",2014,0.446666667
"372","Ghost Shark pale",2015,0.439166667
"373","Ghost Shark pale",2016,0.408333333
"374","Ghost Shark pale",2017,0.3925
"375","Ghost Shark pale",2018,0.415495954
"376","Ghost Shark pale",2019,0.393095194
"377","Ghost Shark pale",2020,0.378543036
"378","Ghost Shark pale",2021,0.398243347
"379","Ghost Shark pale",2022,0.261240669
"380","Giant spider crab",2008,0.75
"381","Giant spider crab",2009,3
"382","Giant spider crab",2010,3.155
"383","Giant spider crab",2011,3.6225
"384","Giant spider crab",2012,3.6225
"385","Giant spider crab",2013,3.6
"386","Giant spider crab",2014,2.75
"387","Giant spider crab",2015,0.2
"388","Giant spider crab",2016,0.2
"389","Giant spider crab",2017,0.192916667
"390","Giant spider crab",2018,0.17165808
"391","Giant spider crab",2019,0.171632321
"392","Giant spider crab",2020,0.171632321
"393","Giant spider crab",2021,0.171632321
"394","Giant spider crab",2022,0.128724241
"395","Green Lipped Mussell",2008,0.1796875
"396","Green Lipped Mussell",2009,0.71875
"397","Green Lipped Mussell",2010,0.755625
"398","Green Lipped Mussell",2011,0.866875
"399","Green Lipped Mussell",2012,0.8675
"400","Green Lipped Mussell",2013,0.86375
"401","Green Lipped Mussell",2014,0.86375
"402","Green Lipped Mussell",2015,0.86375
"403","Green Lipped Mussell",2016,0.86375
"404","Green Lipped Mussell",2017,0.86375
"405","Green Lipped Mussell",2018,0.86375
"406","Green Lipped Mussell",2019,0.86375
"407","Green Lipped Mussell",2020,0.86375
"408","Green Lipped Mussell",2021,0.86375
"409","Green Lipped Mussell",2022,0.6478125
"410","Grey Mullet",2008,0.7725
"411","Grey Mullet",2009,3.09
"412","Grey Mullet",2010,3.1725
"413","Grey Mullet",2011,3.4725
"414","Grey Mullet",2012,3.6225
"415","Grey Mullet",2013,3.6
"416","Grey Mullet",2014,3.6
"417","Grey Mullet",2015,3.61
"418","Grey Mullet",2016,3.642
"419","Grey Mullet",2017,3.648
"420","Grey Mullet",2018,3.64799915
"421","Grey Mullet",2019,3.694112784
"422","Grey Mullet",2020,3.832800565
"423","Grey Mullet",2021,3.833200139
"424","Grey Mullet",2022,2.873509342
"425","Gurnard",2008,0.460416667
"426","Gurnard",2009,1.841666667
"427","Gurnard",2010,1.896666667
"428","Gurnard",2011,2.132916667
"429","Gurnard",2012,2.341666667
"430","Gurnard",2013,2.345416667
"431","Gurnard",2014,2.3975
"432","Gurnard",2015,2.2875
"433","Gurnard",2016,2.055
"434","Gurnard",2017,2.2675
"435","Gurnard",2018,2.392931636
"436","Gurnard",2019,2.492262855
"437","Gurnard",2020,2.561956996
"438","Gurnard",2021,2.668007409
"439","Gurnard",2022,2.0837938
"440","Hake",2008,0.25
"441","Hake",2009,1
"442","Hake",2010,1.1275
"443","Hake",2011,1.446875
"444","Hake",2012,1.255
"445","Hake",2013,1.241875
"446","Hake",2014,1.225
"447","Hake",2015,1.2225
"448","Hake",2016,1.230625
"449","Hake",2017,1.26375
"450","Hake",2018,1.256246891
"451","Hake",2019,1.377142859
"452","Hake",2020,1.419875341
"453","Hake",2021,1.346032678
"454","Hake",2022,0.952954017
"455","Hapuku and Bass",2008,1.1409375
"456","Hapuku and Bass",2009,4.56375
"457","Hapuku and Bass",2010,4.495625
"458","Hapuku and Bass",2011,4.3453125
"459","Hapuku and Bass",2012,4.498125
"460","Hapuku and Bass",2013,4.4053125
"461","Hapuku and Bass",2014,4.2140625
