"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"438","for 12 months to 30-09-2021","HOK",57505000,NA,2020
"439","for 12 months to 30-09-2021","HPB",272700,NA,2020
"440","for 12 months to 30-09-2021","JDO",179080,NA,2020
"441","for 12 months to 30-09-2021","JMA",12831803.5,NA,2020
"442","for 12 months to 30-09-2021","KAH",454666.666666667,NA,2020
"443","for 12 months to 30-09-2021","KBB",754800,NA,2020
"444","for 12 months to 30-09-2021","KIN",42428.5714285714,NA,2020
"445","for 12 months to 30-09-2021","KWH",6700,NA,2020
"446","for 12 months to 30-09-2021","LDO",261000,NA,2020
"447","for 12 months to 30-09-2021","LEA",294200,NA,2020
"448","for 12 months to 30-09-2021","LFE",12454.5454545455,NA,2020
"449","for 12 months to 30-09-2021","LIN",3034875,NA,2020
"450","for 12 months to 30-09-2021","MAK",2e+05,29166,2020
"451","for 12 months to 30-09-2021","MOK",131381.2,NA,2020
"452","for 12 months to 30-09-2021","MOO",527000,37658,2020
"453","for 12 months to 30-09-2021","OEO",3092000,NA,2020
"454","for 12 months to 30-09-2021","ORH",1520125,NA,2020
"455","for 12 months to 30-09-2021","OYS",56590.9090909091,NA,2020
"456","for 12 months to 30-09-2021","OYU",14950000,7616045,2020
"457","for 12 months to 30-09-2021","PAD",76500,NA,2020
"458","for 12 months to 30-09-2021","PAR",21000,NA,2020
"459","for 12 months to 30-09-2021","PAU",91906.4,NA,2020
"460","for 12 months to 30-09-2021","PIL",355000,NA,2020
"461","for 12 months to 30-09-2021","POR",22250,13945.25,2020
"462","for 12 months to 30-09-2021","POS",110000,33880,2020
"463","for 12 months to 30-09-2021","PPI",20400,NA,2020
"464","for 12 months to 30-09-2021","PRK",3272.72727272727,NA,2020
"465","for 12 months to 30-09-2021","PTO",49500,NA,2020
"466","for 12 months to 30-09-2021","PZL",11050,NA,2020
"467","for 12 months to 30-09-2021","QSC",380000,20354,2020
"468","for 12 months to 30-09-2021","RBM",980000,405364,2020
"469","for 12 months to 30-09-2021","RBT",1262500,NA,2020
"470","for 12 months to 30-09-2021","RBY",84800,NA,2020
"471","for 12 months to 30-09-2021","RCO",1655673.4,NA,2020
"472","for 12 months to 30-09-2021","RIB",168300,NA,2020
"473","for 12 months to 30-09-2021","RSK",397200,NA,2020
"474","for 12 months to 30-09-2021","RSN",48666.6666666667,NA,2020
"475","for 12 months to 30-09-2021","SCH",429512.5,NA,2020
"476","for 12 months to 30-09-2021","SCI",120363.636363636,NA,2020
"477","for 12 months to 30-09-2021","SFE",53556.3636363636,NA,2020
"478","for 12 months to 30-09-2021","SKI",340000,NA,2020
"479","for 12 months to 30-09-2021","SNA",1084550,NA,2020
"480","for 12 months to 30-09-2021","SPD",1808571.42857143,NA,2020
"481","for 12 months to 30-09-2021","SPE",219400,98372.3,2020
"482","for 12 months to 30-09-2021","SPO",348177.333333333,NA,2020
"483","for 12 months to 30-09-2021","SPR",90000,NA,2020
"484","for 12 months to 30-09-2021","SQU",20530070.25,7520275.25,2020
"485","for 12 months to 30-09-2021","SSK",169800,NA,2020
"486","for 12 months to 30-09-2021","STA",702800,NA,2020
"487","for 12 months to 30-09-2021","STN",1046000,786736,2020
"488","for 12 months to 30-09-2021","SUR",95583.3333333333,NA,2020
"489","for 12 months to 30-09-2021","SWA",2780000,NA,2020
"490","for 12 months to 30-09-2021","SWO",885000,306510,2020
"491","for 12 months to 30-09-2021","TAR",632400,NA,2020
"492","for 12 months to 30-09-2021","TOR",116000,40112,2020
"493","for 12 months to 30-09-2021","TRE",786620.6,NA,2020
"494","for 12 months to 30-09-2021","TRU",14700,NA,2020
"495","for 12 months to 30-09-2021","TUA",4777.77777777778,NA,2020
"496","for 12 months to 30-09-2021","WAR",752059.666666667,NA,2020
"497","for 12 months to 30-09-2021","WWA",415111.111111111,NA,2020
"498","for 12 months to 30-09-2021","YEM",6900,NA,2020
"499","for 12 months to 30-09-2021","YFN",263000,24584,2020
