"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"101","for 12 months to 30-09-2017","GMU",201120.2,NA,2016
"102","for 12 months to 30-09-2017","GSH",304700,NA,2016
"103","for 12 months to 30-09-2017","GSP",593333.333333333,308594.333333333,2016
"104","for 12 months to 30-09-2017","GUR",938531.166666667,NA,2016
"105","for 12 months to 30-09-2017","HAK",3302785.75,NA,2016
"106","for 12 months to 30-09-2017","HOK",75005000,NA,2016
"107","for 12 months to 30-09-2017","HPB",272700,NA,2016
"108","for 12 months to 30-09-2017","JDO",241080,NA,2016
"109","for 12 months to 30-09-2017","JMA",12831803.5,11838985,2016
"110","for 12 months to 30-09-2017","KAH",454666.666666667,NA,2016
"111","for 12 months to 30-09-2017","KBB",754800,NA,2016
"112","for 12 months to 30-09-2017","KIN",31000,NA,2016
"113","for 12 months to 30-09-2017","KWH",6700,NA,2016
"114","for 12 months to 30-09-2017","LDO",261000,NA,2016
"115","for 12 months to 30-09-2017","LEA",292200,NA,2016
"116","for 12 months to 30-09-2017","LFE",14818.1818181818,NA,2016
"117","for 12 months to 30-09-2017","LIN",2899000,NA,2016
"118","for 12 months to 30-09-2017","MAK",2e+05,37801,2016
"119","for 12 months to 30-09-2017","MOK",128181.2,NA,2016
"120","for 12 months to 30-09-2017","MOO",527000,56582,2016
"121","for 12 months to 30-09-2017","OEO",2972000,NA,2016
"122","for 12 months to 30-09-2017","ORH",1092000,NA,2016
"123","for 12 months to 30-09-2017","OYS",56590.9090909091,NA,2016
"124","for 12 months to 30-09-2017","OYU",14950000,9989921,2016
"125","for 12 months to 30-09-2017","PAD",76500,NA,2016
"126","for 12 months to 30-09-2017","PAR",21000,NA,2016
"127","for 12 months to 30-09-2017","PAU",96487.9,NA,2016
"128","for 12 months to 30-09-2017","PIL",355000,NA,2016
"129","for 12 months to 30-09-2017","POR",20750,NA,2016
"130","for 12 months to 30-09-2017","POS",110000,26655,2016
"131","for 12 months to 30-09-2017","PPI",20400,NA,2016
"132","for 12 months to 30-09-2017","PRK",3272.72727272727,NA,2016
"133","for 12 months to 30-09-2017","PTO",49500,18630,2016
"134","for 12 months to 30-09-2017","PZL",3937.5,NA,2016
"135","for 12 months to 30-09-2017","QSC",380000,23130,2016
"136","for 12 months to 30-09-2017","RBM",980000,100729,2016
"137","for 12 months to 30-09-2017","RBT",1262500,NA,2016
"138","for 12 months to 30-09-2017","RBY",83900,NA,2016
"139","for 12 months to 30-09-2017","RCO",1655677,NA,2016
"140","for 12 months to 30-09-2017","RIB",168300,NA,2016
"141","for 12 months to 30-09-2017","RSK",397200,NA,2016
"142","for 12 months to 30-09-2017","RSN",48666.6666666667,NA,2016
"143","for 12 months to 30-09-2017","SCH",429512.5,NA,2016
"144","for 12 months to 30-09-2017","SCI",113090.909090909,NA,2016
"145","for 12 months to 30-09-2017","SFE",53556.3636363636,NA,2016
"146","for 12 months to 30-09-2017","SKI",212078.8,NA,2016
"147","for 12 months to 30-09-2017","SNA",1067883.33333333,NA,2016
"148","for 12 months to 30-09-2017","SPD",1808571.42857143,NA,2016
"149","for 12 months to 30-09-2017","SPE",219000,NA,2016
"150","for 12 months to 30-09-2017","SPO",327677.333333333,NA,2016
"151","for 12 months to 30-09-2017","SPR",90000,NA,2016
"152","for 12 months to 30-09-2017","SQU",20530070.25,4615525.25,2016
"153","for 12 months to 30-09-2017","SSK",169800,NA,2016
"154","for 12 months to 30-09-2017","STA",692050,NA,2016
"155","for 12 months to 30-09-2017","STN",971000,913498,2016
"156","for 12 months to 30-09-2017","SUR",95583.3333333333,NA,2016
